ComboCode,ComboName
SPRING_REACT,Spring Boot with React
DOTNET,.NET Developer
REACT_NODEJS,React NodeJS Developer
JS,Japanese Software Developer
KS,Korean Bridge Software Engineer
SAP,SAP Consultant
DS,Data Science
SECURITY,Cyber Security
